location_id,postal_code,latitude,longitude
21627,8698,42.1846,1.8534
21628,8698,42.1464,1.8607
21629,8698,42.1667,1.8833
21630,8698,42.1715,1.8676
21631,8698,42.181,1.836
21632,8699,42.2039,1.818
21633,8700,41.5833,1.6191
21634,8710,41.55,1.6167
21635,8710,41.55,1.6167
21636,8711,41.6,1.65
21637,8712,41.55,1.5167
21638,8712,41.55,1.5167
21639,8717,41.6009,1.4445
21640,8717,41.6255,1.4153
21641,8718,41.5742,1.5568
21642,8719,41.6012,1.5468
21643,8719,41.3324,1.6496
21644,8719,41.5983,1.7006
21645,8719,41.6833,1.5
21646,8720,41.35,1.7
21647,8720,41.35,1.7
21648,8720,41.35,1.7
21649,8720,41.35,1.7
21650,8729,41.35,1.7
21651,8729,41.35,1.7
21652,8729,41.35,1.7
21653,8730,41.3324,1.6496
21654,8731,41.3833,1.6167
21655,8732,41.3167,1.6167
21656,8732,41.3167,1.6167
21657,8732,41.3167,1.6167
21658,8732,41.3167,1.6167
21659,8733,41.4167,1.7167
21660,8734,41.3258,1.6912
21661,8734,41.3258,1.6912
21662,8734,41.3258,1.6912
21663,8734,41.3258,1.6912
21664,8734,41.3258,1.6912
21665,8734,41.3258,1.6912
21666,8735,41.3833,1.65
21667,8736,41.4145,1.6506
21668,8736,41.4145,1.6506
21669,8737,41.3833,1.5667
21670,8738,41.4148,1.5165
21671,8739,41.4,1.8333
21672,8740,41.4466,1.9719
21673,8750,41.4167,2.0167
21674,8750,41.4423,2.0553
21675,8750,41.4167,2.025
21676,8750,41.4167,2.0333
21677,8753,41.4239,1.995
21678,8754,41.4365,2.0107
21679,8755,41.474,1.9811
21680,8756,41.4131,1.9691
21681,8757,41.417,1.9197
21682,8757,41.417,1.9197
21683,8757,41.417,1.9197
21684,8758,41.3959,1.9592
21685,8758,41.3959,1.9592
21686,8758,41.3959,1.9592
21687,8758,41.3959,1.9592
21688,8758,41.3959,1.9592
21689,8759,41.3894,1.9339
21690,8760,41.4771,1.9221
21691,8769,41.45,1.9
21692,8770,41.4404,1.8101
21693,8770,41.4167,1.7833
21694,8770,41.4469,1.7855
21695,8770,41.4347,1.793
21696,8770,41.4347,1.793
21697,8773,41.478,1.6122
21698,8775,41.4523,1.6982
21699,8776,41.45,1.7
21700,8777,41.4623,1.6639
21701,8779,41.4712,1.5326
21702,8780,41.4239,1.995
21703,8781,41.5333,1.7667
21704,8782,41.5035,1.8114
21705,8783,41.5012,1.8142
21706,8784,41.5228,1.751
21707,8784,41.4706,1.7521
21708,8784,41.454,1.7628
21709,8784,41.5223,1.7508
21710,8785,41.5167,1.7167
21711,8786,41.5348,1.6826
21712,8787,41.5313,1.6129
21713,8787,41.5187,1.5754
21714,8787,41.5187,1.5754
21715,8787,41.5542,1.6771
21716,8787,41.5309,1.6121
21717,8788,41.5716,1.6375
21718,8789,41.532,1.6207
21719,8789,41.532,1.6207
21720,8789,41.532,1.6207
21721,8790,41.4409,1.8646
21722,8790,41.4555,1.8658
21723,8791,41.4667,1.8333
21724,8791,41.4667,1.8333
21725,8791,41.4667,1.8333
21726,8791,41.4667,1.8333
21727,8792,41.3762,1.7194
21728,8792,41.3833,1.7167
21729,8792,41.3833,1.7167
21730,8793,41.35,1.7833
21731,8794,41.3667,1.7
21732,8795,41.3544,1.8491
21733,8796,41.3975,1.7846
21734,8797,41.4,1.7
21735,8798,41.3667,1.75
21736,8798,41.3625,1.752
21737,8799,41.3975,1.7846
21738,8799,41.3975,1.7846
21739,8800,41.2239,1.7251
21740,8805,41.5433,2.1094
21741,8810,41.2667,1.7667
21742,8810,41.2499,1.7689
21743,8811,41.2787,1.7194
21744,8812,41.2358,1.7545
21745,8812,41.2667,1.7667
21746,8812,41.2667,1.7667
21747,8818,41.3101,1.8119
21748,8820,41.3278,2.0947
21749,8820,41.3278,2.0947
21750,8830,41.3436,2.0366
21751,8840,41.3173,2.0124
21752,8849,41.3333,2.0
21753,8850,41.3061,2.0012
21754,8859,41.3309,1.9243
21755,8860,41.264,1.938
21756,8860,41.2351,1.8119
21757,8860,41.2351,1.8119
21758,8860,41.2351,1.8119
21759,8870,41.2446,1.7962
21760,8871,41.2351,1.8119
21761,8872,41.2351,1.8119
21762,8880,41.2035,1.6822
21763,8900,41.4301,2.1925
21764,8901,41.4301,2.1925
21765,8902,41.4301,2.1925
21766,8903,41.4301,2.1925
21767,8904,41.4301,2.1925
21768,8905,41.4301,2.1925
21769,8906,41.4301,2.1925
21770,8907,41.4301,2.1925
21771,8908,41.4301,2.1925
21772,8910,41.45,2.2474
21773,8911,41.4519,2.2517
21774,8912,41.4451,2.2412
21775,8913,41.4344,2.2156
21776,8914,41.4458,2.2197
21777,8915,41.4611,2.2461
21778,8916,41.4787,2.253
21779,8916,41.45,2.2474
21780,8917,41.4518,2.2302
21781,8918,41.4322,2.2211
21782,8920,41.4515,2.2081
21783,8921,41.4515,2.2081
21784,8922,41.4515,2.2081
21785,8923,41.4515,2.2081
21786,8924,41.4515,2.2081
21787,8930,41.4307,2.2186
21788,8940,41.35,2.0833
21789,8950,41.3773,2.0881
21790,8960,41.3849,2.0746
21791,8970,41.3667,2.0667
21792,8980,41.3833,2.05
22370,8281,41.7408,1.6063
22371,8281,41.7408,1.6063
22372,8281,41.7408,1.6063
