id,commercial_name,county_code,full_address,UTMx,UTMy,latitude,longitude
cens-0812650006-589,FRANKFURT CERVESERIA KIKI'S,21.0,"PL MARE (DE LA) s/n, BX Local 06 exterior mercat, 08390 Montgat",440255.4,4591457.13,41.4724365,2.2844823
cens-0814580001-315,DRUCK CHEMIE IBERICA,3.0,"C PORROIG 3-5, 08799 OLÈRDOLA",393375.0,4578985.0,41.355257,1.725332
cens-0827470005-344,GRANJA VINYALS,7.0,"GRANJA VINYALS S/N, 08260 Súria",397848.95,4632988.65,41.8421593,1.7696007
cens-0827470005-386,MAS VILELLA,7.0,"MASIA MAS VILELLA S/N, 08260 Súria",397772.54,4632506.3,41.8378059,1.7687639
cens-0811410007-2585,IFOTOCAT,11.0,"PL VILA 48, 08760 Martorell",410731.17,4591975.85,41.4743655,1.9308646
cens-0890240003-485,XAVIER TÀBARA - FOTÒGRAF,41.0,"C SIS DE DESEMBRE 12, 08410 VILANOVA DEL VALLÈS",440531.97,4600645.39,41.5552144,2.2868866
cens-0800600000-1705,VIDEOTRIP,21.0,"C BISBE VILA MATEU 5, 08350 Arenys de Mar",462514.55,4603698.34,41.5840455,2.5502909
cens-0819760009-100,ANNA FOTO,21.0,"C CATA 21, 08392 Sant Andreu de Llavaneres",456997.71,4602862.41,41.5762383,2.4841682
cens-0819760009-807,BUCH FOTOGRAFIA,21.0,"C MUNT 27, 08392 Sant Andreu de Llavaneres",456832.48,4602575.14,41.5736419,2.482207
cens-0804620002-426,CENTRO FUJI FOTOS CARDEDEU,41.0,"AV ANGEL GUIMERA 2, L 8, 08440 Cardedeu",446652.08,4609703.55,41.6372318,2.3594653
cens-0802290004-3905,KIKE & JUD,14.0,"C GRAN VIA 36, ENT A, 08600 Berga",404507.69,4661552.69,42.1002101,1.845151
cens-0804620002-2708,ESTUDIO DOS CLAVELES,41.0,"C DIAGONAL PUJADAS 17, 08440 Cardedeu",446562.43,4610053.02,41.6403734,2.3583577
cens-0804620002-2739,FOTOGRAFIA,41.0,"CTRA DOSRIUS (DE) 40, 3 5, 08440 Cardedeu",446744.65,4609388.84,41.6344034,2.3606047
cens-0818030008-646,NO + VELLO,40.0,"C/ SOL (DEL) 39, LOCAL 5, 08291 Ripollet",429655.06,4594494.88,41.4989367,2.1571874
cens-0800600000-2598,FORN DE PA EL XIFRE,21.0,"RIERA PARE FITA 63, 6, 08350 Arenys de Mar",462218.52,4603694.74,41.5839992,2.5467397
cens-0826130008-161,LA BOTIGA DEL PA,21.0,"C VERGE DE MONTSERRAT 15, 08398 Santa Susanna",475554.0,4609374.0,41.6356733,2.7064897
cens-0802400000-30,PA I XOCOLATA,14.0,"C BERGA 3, 08619 Borredà",416833.04,4665292.92,42.1352949,1.9936525
cens-0811200000-1229,FORN SANT ROC,24.0,"PASSIO (DE LA) 10, BXS, 08560 MANLLEU",440914.98,4649989.53,41.9996585,2.2865704
cens-0811200000-1355,FORN DE PA ALTARRIBA,24.0,"AV. ROMA 49, 08560 MANLLEU",441116.68,4650582.61,42.0050149,2.2889462
cens-0811200000-1356,FORN PRAT,24.0,"AV.  ROMA 95, 08560 MANLLEU",440843.07,4650479.56,42.0040663,2.2856528
cens-0825920002-780,POUS FORN DE PA,41.0,"C MAJOR 18, 08460 Santa Maria de Palautordera",453769.84,4615900.27,41.6934894,2.4444426
cens-0821350006-1032,GRANJA CAFETERIA 'DIT I FET',7.0,"C VERGE DE FATIMA 6-10, BXS, 08272 SANT FRUITÓS DE BAGES",408150.44,4623612.62,41.7589862,1.8951092
cens-0821350006-1460,EL PETIT LLENGUET,7.0,"CTRA VIC 115-117, BAIXOS, 08272 SANT FRUITÓS DE BAGES",406710.92,4622875.18,41.7521774,1.8779116
cens-0811730008-94,FORN DE PA VALL-LAMORA,24.0,"RBLA CATALUNYA 8, 08508 MASIES DE VOLTREGÀ",437427.42,4651812.85,42.0158099,2.2442685
cens-0806410007-54,CA LA RAMONA,42.0,"PL VELLA local 3, 08183 Castellterçol",426883.44,4622568.16,41.7515257,2.1205546
cens-0803120002-487,EL TAST CASA FLORENTINA,6.0,"C RAVAL SANT JAUME 5, BX, 08280 Calaf",376390.0,4621215.0,41.7330892,1.5136577
cens-0829430008-89,FORN DE PA CAN PUIG,41.0,"CTRA NOVA 70, 08471 Vallgorguina",459070.0,4610882.0,41.6485802,2.5084773
cens-0812060009-181,VALERO FORN TRADICIONAL,40.0,"C SANT JOAN 103, bx., 08230 MATADEPERA",418904.4,4606061.53,41.6020924,2.0268377
cens-0811410007-2452,LA LOLA PINK,11.0,"C FRANCESC SANTACANA 32 baixos, 08760 MARTORELL",410534.52,4591948.99,41.4741016,1.9285138
cens-0819760009-1087,PASTISSERIA LLAVANERES,21.0,"PG JOAQUIM MATAS 23, 08392 SANT ANDREU DE LLAVANERES",456704.07,4602458.23,41.572582,2.4806752
